TWEETS,KEYWORDS,FINE-GRAINED,REASONS
I easily forget what i learn,"Forget, learn",Frustrated,"The tweet expresses frustration at the person's anxiety, which is a negative emotion."
It makes me something give up on learning,"Makes, give up on learning",Frustrated,"The tweet expresses frustration at how anxiety affects the person's motivation to learn, which is a negative emotion."
"No matter how much I learn, everything seems to evaporate the moment I sit to write. And that makes me panic a lot during exams.","Learn, evaporate, panic",Frustrated,"The tweet expresses frustration at how anxiety affects test performance, which is a negative emotion."
"Extreme nervousness before and during examination causes me to panic so much that I blackout mostly during examination. Other times, the idea that a particular course is challenging makes me lose hope in succeeding in my exams.","Nervousness, blackout, lose hope",Frustrated,"The tweet expresses frustration at how anxiety affects test performance, which is a negative emotion."
Greatly,Greatly,Neutral,"The tweet expresses a neutral opinion on how anxiety affects test performance, which is a complex issue."
It makes me rush in answering questions and later on realize that wrong answer was written,"Rush, wrong answer",Frustrated,"The tweet expresses frustration at how anxiety affects test performance, which is a negative emotion."
Poorly,Poorly,Neutral,"The tweet expresses a neutral opinion on how anxiety affects test performance, which is a complex issue."
"For the fear I have, I always stress the mind a day before the test so I become tired and stressed up in next day","Fear, stress",Frustrated,"The tweet expresses frustration at the person's anxiety, which is a negative emotion."
Not so much,Not so much,Neutral,"The tweet expresses a neutral opinion on how anxiety affects test performance, which is a complex issue."
"Makes me feel there's favoritism and sometimes when the lecturer tells us this course means nothing buh he's teaching it, makes me feel whatsthe use of learning when there's no benefit","Favoritism, benefit",Frustrated,"The tweet expresses frustration at the person's anxiety, which is a negative emotion."
sometimes the panic makes it difficult in recalling certain things .,"Panic, recall",Frustrated,"The tweet expresses frustration at how anxiety affects test performance, which is a negative emotion."
Not bad not good,Not bad not good,Neutral,"The tweet expresses a neutral opinion on how anxiety affects test performance, which is a complex issue."
"It doesn't affect my performance....I experience anxiety at the beginning of examination, but in the course of the examination, i will be okay","Performance, okay",Neutral,"The tweet expresses a neutral opinion on how anxiety affects test performance, which is a complex issue."
Negatively,Negatively,Neutral,"The tweet expresses a neutral opinion on how anxiety affects test performance, which is a complex issue."
It sometimes degrades my performance,"Performance, degrade",Frustrated,"The tweet expresses frustration at how anxiety affects test performance, which is a negative emotion."
Always unsure of answers,"Answers, unsure",Frustrated,"The tweet expresses frustration at how anxiety affects test performance, which is a negative emotion."
This occurs when Iâ€™m not really prepared before exams and it greatly affects me,"Preparation, greatly affects",Frustrated,"The tweet expresses frustration at how anxiety affects test performance, which is a negative emotion."
When I'm not prepared for exams I feel uncomfortable,"Preparation, uncomfortable",Frustrated,"The tweet expresses frustration at how anxiety affects test performance, which is a negative emotion."
It doesn't,It doesn't,Neutral,"The tweet expresses a neutral opinion on how anxiety affects test performance, which is a complex issue."
Forget what Iâ€™ve learnt,"Forget, learnt",Frustrated,"The tweet expresses frustration at how anxiety affects test performance, which is a negative emotion."
Badly,Badly,Neutral,"The tweet expresses a neutral opinion on how anxiety affects test performance, which is a complex issue."
Helps me to study,"Study, helps",Optimistic,"The tweet expresses optimism about how anxiety can motivate the person to study, which is a positive emotion."
Moderate,Moderate,Neutral,"The tweet expresses a neutral opinion on how anxiety affects test performance, which is a complex issue."
It makes you panic,Panic,Frustrated,"The tweet expresses frustration at how anxiety affects test performance, which is a negative emotion."
Text anxiety leads me to forget what I have learnt,"Text anxiety, forget",Frustrated,"The tweet expresses frustration at how anxiety affects test performance, which is a negative emotion."
it normally affects it in a positive way,Positive way,Optimistic,"The tweet expresses optimism about how anxiety can motivate the person to study, which is a positive emotion."
Varies it.,Varies,Neutral,"The tweet expresses a neutral opinion on how anxiety affects test performance, which is a complex issue."
Sometimes poorly,Poorly,Neutral,"The tweet expresses a neutral opinion on how anxiety affects test performance, which is a complex issue."
Makes it worse,Worse,Frustrated,"The tweet expresses frustration at how anxiety affects test performance, which is a negative emotion."
"It sometimes drives me to give my best, but in most times it affects my confidence and I am unable to answer questions that are easy","Confidence, unable to answer",Frustrated,"The tweet expresses frustration at how anxiety affects test performance, which is a negative emotion."
Not much effect,None,Neutral,Minimal impact on academic performance
"Very bad. You wallow in self doubt. Was I even brilliant in SHS,","Self doubt, Brilliant",Frustrated,Overwhelming self-doubt and frustration
"Badly, such that I donâ€™t get the marks I want.","Marks, Badly",Frustrated,Dissatisfaction with academic performance
It doesn't,None,Neutral,No significant impact on academic performance
Low confidence,Low confidence,Stressed and Anxious,Feeling stressed and anxious due to low confidence
Drastically,Drastically,Stressed and Anxious,Significant stress and anxiety
But it doesn't affect my academic that much,None,Neutral,Minimal impact on academic performance
"Poorly, I sometimes forget what I actually know in the exam hall","Forget, Exam hall",Stressed and Anxious,Anxiety-related forgetfulness in exams
It makes me pause for about 10 minutes to calm down,"Pause, Calm down",Stressed and Anxious,Needing to pause to manage anxiety
Getting low scores or forgetting approach to solutions,"Low scores, Forget",Stressed and Anxious,Anxiety-related poor performance and forgetfulness
Exams pressure,Exams pressure,Stressed and Anxious,Pressure related to exams
Normal,None,Neutral,No significant impact on academic performance
I'm not able to adequately prepare for test and that gives me test anxiety,"Test anxiety, Prepare",Stressed and Anxious,Anxiety due to inadequate test preparation
It doesnâ€™t really affect,None,Neutral,Minimal impact on academic performance
Negatively,Negatively,Stressed and Anxious,Negative impact on academic performance
Fairly,None,Neutral,Moderate impact on academic performance
It makes less confident and rush through the courses without grasping the concept,"Less confidence, Rush",Stressed and Anxious,Anxiety-related lack of confidence and rushing
"I overthink, forget stuff and feel like I know nothing","Overthink, Forget, Know nothing",Stressed and Anxious,Anxiety-related overthinking and forgetfulness
It makes me panic hence I make mistakes,"Panic, Mistakes",Stressed and Anxious,Anxiety-induced panic and mistakes
Very badly,Very badly,Stressed and Anxious,Severe negative impact on academic performance
It doesn't,None,Neutral,No significant impact on academic performance
In a lot of ways,None,Ambivalent,Mixed impact on academic performance
Scared of exams making me unable to write the exams at,"Scared, Unable to write",Stressed and Anxious,Fear-induced inability to write exams
Fear of failure even though you tried,"Fear of failure, Tried",Stressed and Anxious,Anxiety about failure despite efforts
The fear of failing something doesn't help us to succeed,"Fear of failing, Not helping",Stressed and Anxious,Fear of failure hindering success
I perform very poorly and sometimes even avoid class because there might be a test.,"Perform poorly, Avoid class",Stressed and Anxious,Poor performance leading to avoidance
Not that much but it does,None,Neutral,Moderate impact on academic performance
"Partially negatively, sometimes positively","Partially negatively, Sometimes positively",Ambivalent,Mixed impact with both negative and positive aspects
Not really bad,None,Neutral,Minor impact on academic performance
In certain courses like calculus I find it difficult to think clearly and it affects me negatively because calculus requires you to think outside the box and quickly,"Calculus, Think clearly, Difficult",Stressed and Anxious,Anxiety-related difficulties in specific courses
